最新价	涨跌幅	转债代码	转债名称	总市值	纯债价值	最新价/正股价格	涨跌幅	正股代码	正股名称	转股价值	转股溢价率	纯债溢价率	回售触发价	强赎触发价	到期赎回价	开始转股日	申购日期
88.99	-4.16	128118	瀛通转债	-	98.1956	17.56	2.33	002861	瀛通通讯	63.785	39.52	-9.37	19.27	35.79	115.0	20210108	20200702
91.146	-7.86	128117	道恩转债	-	99.2247	22.84	-0.7	002838	道恩股份	77.899	17.01	-8.14	20.52	37.74	118.0	20210108	20200702
93.649	-5.79	123057	美联转债	-	95.0407	7.82	0.13	300586	美联新材	78.9102	18.68	-1.46	6.94	12.88	112.0	20210107	20200701
-	-	113591	胜达转债	-	98.2438	-	-	603687	大胜达	108.4182	-10.63	-1.38	10.31	13.6	116.0	20210108	20200701
87.71	-8.85	128116	瑞达转债	-	92.6775	22.58	2.08	002961	瑞达期货	75.721	15.83	-5.36	20.87	38.77	110.0	20210104	20200629
74.287	-5.19	127018	本钢转债	-	103.6154	2.83	-8.12	000761	本钢板材	56.2624	32.04	-28.31	3.52	6.54	119.0	20210104	20200629
-	-	113590	海容转债	-	92.9496	-	-	603187	海容冷链	107.8043	54.66	79.38	25.47	47.31	110.0	20210104	20200629
103.506	-3.1	123056	雪榕转债	-	97.4188	11.1	-0.09	300511	雪榕生物	93.3558	10.87	6.25	8.32	14.27	115.0	20210104	20200624
-	-	113589	天创转债	-	92.7379	-	-	603608	天创时尚	85.2057	-4.63	-12.38	8.85	16.17	110.0	20210102	20200624
109.911	-9.82	128114	正邦转债	-	92.8069	16.59	-5.09	002157	正邦科技	103.1075	6.6	18.43	11.26	20.22	110.0	20201223	20200617
120.165	-8.8	123055	晨光转债	-	100.087	16.14	-0.19	300138	晨光生物	131.7551	-8.8	20.06	8.58	15.93	118.0	20201223	20200617
-	-	113588	润达转债	-	91.9081	-	-	603108	润达医疗	107.7096	-7.94	7.89	9.35	17.37	109.0	20201223	20200617
