基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立以来,手续费
009314,广发双擎升级混合C,2020-12-31,3.4426,3.4426,1.32,3.11,11.43,11.83,16.70,,,,,28.5320,0.00%
100039,富国通胀通缩主题轮动混合,2020-12-31,3.9520,4.0020,1.83,3.10,3.84,14.12,31.82,72.43,186.17,141.12,72.43,312.1080,0.15%
001008,工银国企改革股票,2020-12-31,2.2920,2.2920,2.14,3.10,16.82,32.79,55.18,82.63,152.15,102.47,82.63,129.20,0.15%
004727,先锋聚优C,2020-12-31,1.1990,1.1990,1.41,3.10,4.93,8.37,21.25,43.13,55.31,19.65,43.13,19.90,0.00%
090012,大成深证成长40ETF联接,2020-12-31,1.5320,1.5320,1.12,3.10,8.65,5,9.66,54.59,140.13,45.77,54.59,53.20,0.12%
005572,中银证券新能源混合C,2020-12-31,1.8551,1.8551,1.49,3.10,7.72,27.45,30.93,58.65,92.74,,58.65,85.51,0.00%
005571,中银证券新能源混合A,2020-12-31,1.8702,1.8702,1.49,3.10,7.75,27.55,31.15,59.19,94.06,,59.19,87.02,0.15%
900090,中信卓越成长两年持有混合B,2020-12-31,2.0104,3.7170,1.51,3.10,5.04,17.42,27.72,,,,,35.6820,1.50%
010235,广发资源优选股票C,2020-12-31,1.9430,1.9430,1.26,3.10,5.19,14,,,,,,15.0862,0.00%
009872,中欧责任投资混合A,2020-12-31,1.1203,1.1203,1.62,3.10,10.04,12.11,,,,,,12.03,0.15%
005295,诺德天富灵活配置混合,2020-12-31,1.3087,1.3087,1.49,3.09,2.22,8.71,18.82,20.38,52.48,,20.38,30.87,0.15%
005960,博时量化价值股票A,2020-12-31,1.4019,1.4019,1.42,3.09,0,9.77,16.94,30.26,61.62,,30.26,40.19,0.15%
007146,鹏华研究智选混合,2020-12-31,1.9732,1.9732,1.90,3.09,10.79,10.84,22.76,78.49,,,78.49,97.32,0.15%
167302,方正富邦大湾区综指(LOF),2020-12-31,1.2193,1.2193,0.99,3.09,2.44,11.20,17.30,18.48,,,18.48,21.93,0.10%
008128,湘财长源股票型A,2020-12-31,1.1899,1.4858,2.24,3.09,0.90,12.38,28.38,49.14,,,49.14,49.1271,0.15%
009882,华润元大核心动力混合A,2020-12-31,0.9552,0.9552,3.06,3.09,2.17,-2.96,,,,,,-4.48,0.15%
240022,华宝资源优选混合A,2020-12-31,2.4740,2.5830,0.69,3.08,4.96,28.79,52.34,60.23,110.20,71.45,60.23,166.5117,0.15%
050022,博时回报混合,2020-12-31,1.9720,2.8440,1.49,3.08,7.23,11.85,19.01,40.92,175.09,121.25,40.92,282.7551,0.15%
004752,广发中证传媒ETF联接A,2020-12-31,0.8540,0.8540,1.49,3.08,-4.32,-9.67,-8.56,2.37,30.02,,2.37,-14.60,0.12%
005607,华宝中证500增强A,2020-12-31,1.2292,1.2292,1.54,3.08,1.94,4.17,12.49,29.59,61.65,,29.59,22.92,0.12%
005961,博时量化价值股票C,2020-12-31,1.3739,1.3739,1.42,3.08,-0.07,9.55,16.47,29.22,59.05,,29.22,37.39,0.00%
900100,中信卓越成长两年持有混合C,2020-12-31,2.0021,3.7087,1.51,3.08,4.97,17.21,27.26,,,,,35.1218,0.00%
009873,中欧责任投资混合C,2020-12-31,1.1176,1.1176,1.62,3.08,9.97,11.88,,,,,,11.76,0.00%
750001,安信灵活配置混合,2020-12-31,2.3810,2.9710,1.67,3.07,3.93,20.07,41.56,70.80,165.14,113.16,70.80,283.8202,0.15%
000755,富安达新兴成长混合,2020-12-31,1.9184,1.9184,2.53,3.07,19.95,19.39,25.15,52.12,159.38,51.95,52.12,91.84,0.15%
003581,前海联合国民健康混合A,2020-12-31,2.1520,2.1520,0.99,3.07,15.64,12.20,22.06,89.94,151.99,105.74,89.94,115.20,0.15%
160923,大成海外中国机会混合,2020-12-30,1.4770,1.4770,2.43,3.07,7.26,13.88,20.97,20.47,45.23,23.91,20.97,47.70,0.15%
000698,宝盈科技30混合,2020-12-31,3.1540,3.1540,2.44,3.07,13.58,11.61,19.29,56.53,167.97,97.87,56.53,215.40,0.15%
004753,广发中证传媒ETF联接C,2020-12-31,0.8551,0.8551,1.50,3.07,-4.34,-9.71,-8.64,2.16,30.09,,2.16,-14.49,0.00%
004945,长信中证500指数增强,2020-12-31,1.4621,1.4621,1.61,3.07,3.42,4.47,14.66,46.62,96.25,49.03,46.62,46.1954,0.15%
005608,华宝中证500增强C,2020-12-31,1.2160,1.2160,1.54,3.07,1.91,4.07,12.26,29.09,60.36,,29.09,21.60,0.00%
008129,湘财长源股票型C,2020-12-31,1.1799,1.4734,2.24,3.07,0.85,12.23,27.92,47.92,,,47.92,47.8796,0.00%
009883,华润元大核心动力混合C,2020-12-31,0.9535,0.9535,3.06,3.07,2.12,-3.08,,,,,,-4.65,0.00%
202001,南方稳健成长混合,2020-12-31,2.4252,4.3802,1.64,3.06,11.82,12.12,21.30,59.17,126.73,74.19,59.17,828.3114,0.16%
001174,中欧瑾和灵活配置混合C,2020-12-31,1.4130,1.4130,1.51,3.06,4.13,10.82,26.39,20.67,42.73,29.87,20.67,41.30,0.00%
161631,融通人工智能指数(LOF)A,2020-12-31,1.4593,1.4593,1.91,3.06,-1.82,-0.63,0.39,26.75,101.73,40.22,26.75,45.93,0.12%
004205,东方支柱产业灵活配置混合,2020-12-31,0.9265,0.9265,1.36,3.06,3.51,24.60,15.74,17.62,25.30,-10.92,17.62,-7.35,0.15%
005260,银华稳健增利灵活配置混合A,2020-12-31,1.4048,1.4048,1.55,3.06,5.71,8.09,21.10,45,95.52,40.31,45,40.4660,0.15%
005376,北信瑞丰华丰灵配,2020-12-31,1.3827,1.4827,1.24,3.06,7.10,10.79,17.66,22.44,50.16,,22.44,50.8252,0.08%
004905,华泰柏瑞生物医药混合A,2020-12-31,2.7742,2.7742,1.16,3.06,14.86,8.61,11.72,80.27,202.10,165.80,80.27,177.42,0.15%
210009,金鹰核心资源混合,2020-12-31,1.2130,1.3130,2.10,3.06,-7.19,-9.41,-3.04,22.03,68.01,13.79,22.03,32.7849,0.15%
006230,鹏华研究驱动混合,2020-12-31,1.9283,1.9283,1.69,3.06,6.27,10.03,19.36,43.49,96.07,,43.49,92.83,0.15%
009336,平安中证500指数增强A,2020-12-31,1.2243,1.2243,1.72,3.06,4.47,5.23,14.02,,,,,22.43,0.12%
009337,平安中证500指数增强C,2020-12-31,1.2207,1.2207,1.72,3.06,4.42,5.10,13.73,,,,,22.07,0.00%
000297,鹏华可转债债券A,2020-12-31,1.3820,1.4390,1.62,3.06,8.04,12.59,22.53,40.41,84.58,68.62,40.41,44.3398,0.08%
001173,中欧瑾和灵活配置混合A,2020-12-31,1.4540,1.4540,1.54,3.05,4.15,11.08,27.10,21.88,43.82,31.35,21.88,45.40,0.15%
005261,银华稳健增利灵活配置混合C,2020-12-31,1.3929,1.3929,1.55,3.05,5.67,7.99,20.89,44.51,94.29,39.15,44.51,39.29,0.00%
005776,中加转型动力混合C,2020-12-31,2.1148,2.1148,1.13,3.05,1.17,14.65,36.45,58.76,108.81,,58.76,111.48,0.00%
005775,中加转型动力混合A,2020-12-31,2.1602,2.1602,1.13,3.05,1.21,14.80,36.87,59.88,112.39,,59.88,116.02,0.15%
007817,国泰中证全指通信设备ETF联接A,2020-12-31,1.0246,1.0246,0.87,3.05,-5.32,-6.97,-10.37,1.62,,,1.62,2.46,0.10%
320011,诺安中小盘精选混合,2020-12-31,2.8170,3.8470,1.88,3.04,5.11,10.34,28.63,37.48,65.80,39.26,37.48,342.5166,0.15%
320016,诺安多策略混合,2020-12-31,2.2030,2.2030,1.47,3.04,3.28,10.87,28.31,29.59,70.12,40.05,29.59,120.30,0.15%
080001,长盛成长价值混合,2020-12-31,1.5910,4.2690,1.27,3.04,4.37,6.85,15.21,33.98,78.58,43.39,33.98,1090.3897,0.15%
162703,广发小盘成长混合(LOF)A,2020-12-31,3.5404,5.8784,1.58,3.04,12.74,12.81,18.07,74.32,236.76,149.22,74.32,1401.4872,0.15%
519002,华安安信消费混合,2020-12-31,3.7630,4.1040,2.01,3.04,8.95,11.79,28.74,88.91,233.90,159.52,88.91,355.6894,0.15%
003435,博时鑫泽灵活配置混合C,2020-12-31,1.9650,2.03,1.55,3.04,5.59,13,25.64,43.01,112.39,82.05,43.01,106.4474,0.08%
004138,上银鑫达混合,2020-12-31,2.0788,2.0788,1.65,3.04,2.73,13.71,40.07,46.44,136.33,86.82,46.44,107.88,0.12%
005063,广发中证全指家用电器指数A,2020-12-31,1.4527,1.4527,1.97,3.04,3.79,16.46,31.62,35.44,94.99,34.77,35.44,45.27,0.12%
005335,浙商全景消费混合,2020-12-31,1.9162,1.9162,1.61,3.04,5.40,20.72,36.71,52.32,120,91.62,52.32,91.62,0.15%
005851,财通新视野灵活配置混合A,2020-12-31,1.6223,1.6223,2.08,3.04,2.60,16.69,15.82,28.45,72.81,,28.45,62.23,0.15%
006593,博道中证500增强A,2020-12-31,1.6878,1.7878,1.72,3.04,1.39,5.17,22.59,41.37,,,41.37,83.7308,0.12%
006644,弘毅远方消费升级混合,2020-12-31,2.0995,2.0995,1.30,3.04,8.07,9.28,16.76,56.03,,,56.03,109.95,0.15%
007818,国泰中证全指通信设备ETF联接C,2020-12-31,1.0196,1.0196,0.87,3.04,-5.34,-7.04,-10.50,1.32,,,1.32,1.96,0.00%
008954,安信价值回报三年持有混合A,2020-12-31,1.3987,1.3987,1.57,3.04,7.77,15.02,24.77,,,,,39.87,0.15%
009132,广发小盘成长混合(LOF)C,2020-12-31,3.5303,3.5303,1.58,3.04,12.71,12.70,17.83,,,,,49.5953,0.00%
009239,融通人工智能指数(LOF)C,2020-12-31,1.4552,1.4552,1.90,3.04,-1.86,-0.74,0.19,,,,,19.1127,0.00%
010031,华泰柏瑞生物医药混合C,2020-12-31,2.7671,2.7671,1.16,3.04,14.78,8.40,,,,,,7.1564,0.00%
900009,中信证券成长动力混合A,2020-12-31,2.3703,3.3809,1.41,3.04,8.86,,,,,,,7.8782,1.50%
011068,华宝资源优选混合C,2020-12-31,2.4740,2.4740,0.69,3.04,,,,,,,,3.3849,0.00%
001283,红塔红土盛金新动力混合A,2020-12-31,1.2719,1.6009,1.10,3.03,4.57,10.57,26.28,34.08,61.68,43.89,34.08,67.5469,0.10%
540009,汇丰晋信消费红利股票,2020-12-31,1.4107,2.0577,1.94,3.03,3.62,13.04,36.53,62.26,128.87,79.16,62.26,149.0038,0.15%
003434,博时鑫泽灵活配置混合A,2020-12-31,1.9710,2.0360,1.55,3.03,5.57,13.02,25.70,43.24,113.03,82.59,43.24,107.0623,0.08%
005064,广发中证全指家用电器指数C,2020-12-31,1.4467,1.4467,1.96,3.03,3.77,16.41,31.49,35.17,94.58,34.33,35.17,44.67,0.00%
001284,红塔红土盛金新动力混合C,2020-12-31,1.2658,1.5078,1.10,3.03,4.55,10.51,26.14,33.77,60.89,42.83,33.77,56.9137,0.00%
005959,财通新视野灵活配置混合C,2020-12-31,1.5898,1.5898,2.07,3.03,2.53,16.45,15.35,27.42,70.05,,27.42,58.98,0.00%
006594,博道中证500增强C,2020-12-31,1.6777,1.7777,1.73,3.03,1.37,5.09,22.41,40.95,,,40.95,82.6419,0.00%
007012,湘财长顺混合发起式A,2020-12-31,1.2013,1.7641,2.11,3.03,1.20,12.09,26.88,64.12,,,64.12,87.2421,0.15%
002121,广发沪港深新起点股票A,2020-12-31,1.9871,2.0721,1.27,3.02,9.11,12.77,21.16,36.01,86.23,46.38,36.01,112.6954,0.15%
005062,博时中证500指数增强A,2020-12-31,1.3795,1.3795,1.70,3.02,2.37,3.35,13.25,33.72,87.20,39.44,33.72,37.95,0.12%
005965,安信中证500指数增强A,2020-12-31,1.7375,1.7375,1.77,3.02,1.78,3.64,11.16,32.90,73.44,,32.90,73.75,0.12%
005966,安信中证500指数增强C,2020-12-31,1.7230,1.7230,1.77,3.02,1.75,3.54,10.94,32.37,72.06,,32.37,72.30,0.00%
002454,九泰久稳灵活配置混合C,2020-12-31,1.0580,1.0580,1.15,3.02,3.73,9.07,3.42,8.40,11.37,4.24,8.40,5.80,0.00%
007013,湘财长顺混合发起式C,2020-12-31,1.1935,1.7465,2.10,3.02,1.16,11.95,26.46,63.03,,,63.03,85.0003,0.00%
009007,兴全沪港深两年持有混合,2020-12-31,1.1077,1.1077,1.03,3.02,5.18,9.83,9.26,,,,,10.7589,0.15%
007133,嘉实长青竞争优势股票A,2020-12-31,1.4559,1.4559,1.57,3.02,0.87,5.13,19.93,31.95,,,31.95,45.59,0.15%
090017,大成可转债增强债券,2020-12-31,1.30,1.31,1.72,3.01,-0.23,0.93,5.61,13.54,31.05,13.94,13.54,31.2161,0.08%
003333,泰信智选成长混合,2020-12-31,0.9904,0.9904,2.40,3.01,3.62,5.07,5.67,37.96,63.30,5.16,37.96,-0.96,0.15%
002408,中信建投医改混合A,2020-12-31,2.5235,2.5235,1.13,3.01,20.17,12.93,14.25,93.22,191.73,129.83,93.22,152.35,0.12%
004814,中欧红利优享混合A,2020-12-31,1.4116,1.4116,1.44,3.01,-0.88,15.79,33.80,25.77,80.19,,25.77,41.16,0.15%
007134,嘉实长青竞争优势股票C,2020-12-31,1.4408,1.4408,1.56,3.01,0.83,5,19.63,31.28,,,31.28,44.08,0.00%
007553,中信建投医改混合C,2020-12-31,2.1013,2.1013,1.13,3.01,20.14,12.82,14.03,92.60,,,92.60,110.13,0.00%
010024,广发沪港深新起点股票C,2020-12-31,1.9853,1.9853,1.27,3.01,9.07,12.66,,,,,,13.4457,0.00%
000020,景顺长城品质投资混合,2020-12-31,4.1480,4.3160,0.90,3,10.35,12.32,27.12,59.60,165.73,103.68,59.60,351.9753,0.15%
378006,上投摩根全球新兴市场混合,2020-12-30,1.3855,1.3855,2.46,3,8.07,19.75,28.05,24.15,52.59,21.96,24.37,38.55,0.16%
002453,九泰久稳灵活配置混合A,2020-12-31,1.10,1.10,1.20,3,3.77,9.34,3.87,9.34,13.29,6.90,9.34,10,0.15%
002182,东兴蓝海财富混合,2020-12-31,0.8590,0.8590,1.30,3,3.74,9.01,20.48,20.65,47.34,5.53,20.65,-14.10,0.15%
001717,工银前沿医疗股票A,2020-12-31,3.8160,3.8160,1.01,3,18.84,12.53,13.20,98.96,236.80,171.79,98.96,281.60,0.15%
501005,汇添富中证精准医疗指数A,2020-12-31,1.7465,1.7465,1.17,3,12.93,3.78,10.31,67,160.75,82.55,67,74.65,0.08%
501006,汇添富中证精准医疗指数C,2020-12-31,1.7150,1.7150,1.17,3,12.90,3.68,10.09,66.33,159.06,80.64,66.33,71.50,0.00%
410003,华富成长趋势混合,2020-12-31,1.7450,2.1650,1.97,3,4.67,9.44,6.86,65.99,157.20,95.30,65.99,140.1682,0.15%
005795,博时中证500指数增强C,2020-12-31,1.3647,1.3647,1.69,3,2.34,3.24,13.02,33.18,85.70,,33.18,40.9523,0.00%
007111,前海联合国民健康混合C,2020-12-31,2.1290,2.1290,0.95,3,15.58,12.11,21.73,87.91,,,87.91,117.2449,0.00%
007439,东海科技动力A,2020-12-31,1.9205,1.9205,0.92,3,8.43,15.21,19.56,64.85,,,64.85,92.05,0.15%
010147,博道嘉兴一年持有期混合,2020-12-31,1.0960,1.0960,1.59,3,10.48,,,,,,,9.60,0.15%
010685,工银前沿医疗股票C,2020-12-31,3.8160,3.8160,1.03,3,18.84,,,,,,,16.3415,0.00%
000004,中海可转债债券C,2020-12-31,0.9290,1.1390,1.98,2.99,-2.21,1.42,18.65,13.71,46.76,20.81,13.71,9.2255,0.00%
000220,富国医疗保健行业混合A,2020-12-31,4.9190,4.9190,0.92,2.99,18.13,11.04,11.01,81.98,188.50,177.13,81.98,391.90,0.15%
720002,财通可转债债券A,2020-12-31,1.0815,1.4390,1.24,2.99,6.30,5.43,9.20,16.12,22.80,22.33,16.12,50.1235,0.08%
004851,广发医疗保健股票A,2020-12-31,3.3946,3.3946,1.01,2.99,18.68,13.04,11.89,99.09,264.23,198.24,99.09,239.46,0.15%
004815,中欧红利优享混合C,2020-12-31,1.3837,1.3837,1.44,2.99,-0.95,15.57,33.27,24.76,77.58,,24.76,38.37,0.00%
007463,东海科技动力C,2020-12-31,1.8855,1.8855,0.92,2.99,8.34,14.99,19.07,63.02,,,63.02,88.55,0.00%
009789,富安达科技创新混合,2020-12-31,1.1155,1.1155,1.48,2.99,5.46,11.68,,,,,,11.55,0.15%
000003,中海可转债债券A,2020-12-31,0.9320,1.1420,1.97,2.98,-2.20,1.53,18.88,14.22,47.24,21.51,14.22,9.5782,0.08%
009163,广发医疗保健股票C,2020-12-31,3.3847,3.3847,1.01,2.98,18.64,12.92,11.66,,,,,82.9370,0.00%
009893,大摩优悦安和混合,2020-12-31,1.0442,1.0442,1.16,2.98,0.75,3.98,,,,,,4.42,0.15%
001361,景顺中证科技传媒通信150ETF联接,2020-12-31,0.7250,0.7250,1.54,2.98,-0.28,1.40,0.83,22.05,77.26,19.44,22.05,-27.50,0.12%
257020,国联安精选混合,2020-12-31,1.1430,4.7220,1.33,2.97,1.78,9.69,19.41,58.26,132.45,48.33,58.26,1143.2459,0.15%
000298,中海纯债债券A,2020-12-31,1.1470,1.2870,0.26,2.96,4.37,2.78,1.96,3.89,8.11,14.47,3.89,30.5833,0.08%
000362,国泰聚信价值优势混合A,2020-12-31,2.6080,3.6060,2.68,2.96,4.49,5.67,12.71,66.75,167.21,98.33,66.75,379.3377,0.15%
100053,富国上证指数ETF联接,2020-12-31,1.5650,1.5650,1.56,2.96,2.02,7.78,17.85,20.66,55.57,24.40,20.66,56.50,0.15%
002230,华夏大中华混合(QDII),2020-12-30,2.0530,2.0530,3.74,2.96,9.90,13.49,27.75,57.92,89.57,40.71,58.17,105.30,0.15%
002770,安信新回报混合A,2020-12-31,2.8461,2.8961,1.69,2.96,6.70,9.03,14.59,65.34,156.98,162.07,65.34,197.7353,0.08%
202023,南方优选成长混合A,2020-12-31,4.8970,4.8970,1.60,2.96,9.04,11.83,25.44,60.19,132.20,92.64,60.19,389.70,0.15%
004576,新华恒益量化灵活配置混合,2020-12-31,1.0549,1.0549,1.21,2.96,4.30,11.23,29.42,27.84,30.99,7.02,27.84,5.4795,0.15%
005848,银华裕利混合发起式,2020-12-31,2.1463,2.1463,1.23,2.96,8.82,12.41,18.58,37.13,114.95,,37.13,114.6085,0.15%
168401,红土创新转型精选灵(LOF),2020-12-31,2.1960,2.1960,1.94,2.96,15.05,22.20,38.99,62.25,125.49,114.70,62.25,119.60,0.15%
006537,恒生前海港股通精选混合,2020-12-31,1.2873,1.2873,0.96,2.96,12.27,17.71,27.58,25.76,,,25.76,28.73,0.15%
010064,圆信永丰兴研A,2020-12-31,1.1148,1.1148,1.59,2.96,6.53,11.46,,,,,,11.48,0.15%
519026,海富通中小盘混合,2020-12-31,1.8870,1.8870,2.22,2.95,12.05,8.26,18.75,78.86,213.46,83.74,78.86,88.70,0.15%
000363,国泰聚信价值优势混合C,2020-12-31,2.6210,3.6150,2.70,2.95,4.42,5.56,12.44,65.99,164.48,95.60,65.99,381.0306,0.00%
002771,安信新回报混合C,2020-12-31,2.8171,2.8671,1.69,2.95,6.69,8.98,14.48,65.01,155.96,159.98,65.01,194.7304,0.00%
001764,广发沪港深新机遇股票,2020-12-31,1.7090,1.8460,1.67,2.95,9.69,10.69,27.82,62.30,102.73,46.44,62.30,90.8432,0.15%
000299,中海纯债债券C,2020-12-31,1.1180,1.2580,0.27,2.95,4.39,2.66,1.73,3.33,7.09,13.04,3.33,27.4052,0.00%
501302,南方恒指ETF联接A,2020-12-31,1.0465,1.0465,0.35,2.95,2.91,11.90,4.65,-6.79,4.43,-3.25,-6.79,4.65,0.12%
005206,南方优选成长混合C,2020-12-31,4.7440,4.7440,1.61,2.95,8.96,11.62,24.94,58.93,126.88,86.70,58.93,92.1426,0.00%
006025,诺安优化配置混合,2020-12-31,1.6383,1.6383,1.37,2.95,2.99,8.38,21.54,23.50,62.58,,23.50,63.83,0.15%
006921,南方智诚混合,2020-12-31,1.9058,1.9058,1.34,2.95,6.71,16.14,30.55,57.31,,,57.31,90.58,0.15%
009152,南方瑞盛三年混合A,2020-12-31,1.2497,1.2497,1.54,2.95,5.74,9.16,18.12,,,,,24.97,0.15%
010003,景顺长城电子信息产业股票A,2020-12-31,1.1063,1.1063,0.79,2.95,5.89,10.65,,,,,,10.63,0.15%
010020,华夏线上经济主题精选混合,2020-12-31,1.0563,1.0563,1.37,2.95,5.04,5.80,,,,,,5.63,0.15%
160919,大成产业升级股票(LOF),2020-12-31,2.3790,4.3650,2.45,2.94,9.63,12.75,30.86,62.95,150.95,92.79,62.95,124.6232,0.15%
166019,中欧价值智选混合A,2020-12-31,3.6903,4.0103,0.66,2.94,0.58,11.95,37.20,60.94,135.49,116.95,60.94,334.7449,0.15%
001975,景顺长城环保优势股票,2020-12-31,3.3570,3.3570,1.27,2.94,9.17,20.37,34.71,70.41,167.49,111.40,70.41,235.70,0.15%
000457,上投摩根核心成长股票,2020-12-31,2.5126,2.8216,0.60,2.94,-3.38,4.62,25.25,41.95,110.08,16.16,41.95,193.4553,0.15%
009153,南方瑞盛三年混合C,2020-12-31,1.2488,1.2488,1.53,2.94,5.72,9.14,18.07,,,,,24.88,0.00%
010004,景顺长城电子信息产业股票C,2020-12-31,1.1049,1.1049,0.79,2.94,5.84,10.55,,,,,,10.49,0.00%
010065,圆信永丰兴研C,2020-12-31,1.1132,1.1132,1.58,2.94,6.46,11.31,,,,,,11.32,0.00%
260111,景顺长城公司治理混合,2020-12-31,1.8970,2.7850,1.44,2.93,8.03,19.01,42.20,54.50,106.06,75.31,54.50,277.3228,0.15%
005659,南方恒指ETF联接C,2020-12-31,1.0347,1.0347,0.35,2.93,2.87,11.79,4.44,-7.16,3.60,,-7.16,-6.4043,0.00%
006809,泰康香港银行指数A,2020-12-31,0.8246,0.8246,-0.02,2.93,-2.61,15.07,-3.51,-17.42,,,-17.42,-17.54,0.10%
006810,泰康香港银行指数C,2020-12-31,0.8191,0.8191,-0.02,2.93,-2.65,14.96,-3.70,-17.74,,,-17.74,-18.09,0.00%
008635,华安科技创新混合,2020-12-31,1.2735,1.2735,1.73,2.93,9.49,12.70,20.14,,,,,27.35,0.15%
310368,申万菱信竞争优势混合,2020-12-31,2.0243,3.0403,3.28,2.92,10.91,23.46,40.95,57.20,124.80,57.12,57.20,314.4760,0.15%
001564,东方红京东大数据混合,2020-12-31,2.0060,2.0060,2.45,2.92,0.05,10.89,31.71,37.12,75.20,36.28,37.12,100.60,1.50%
373010,上投摩根双息平衡混合A,2020-12-31,0.9103,3.0035,0.98,2.92,2.06,7.52,14.20,19.38,41.42,-1.24,19.38,300.9940,0.15%
003000,招商丰德灵活配置混合A,2020-12-31,1.1922,1.1922,0.89,2.92,8.61,6.50,9.16,15.59,33.12,12.50,15.59,19.22,0.15%
002630,江信瑞福灵活配置混合A,2020-12-31,1.4361,1.4361,1.61,2.92,9.80,22.83,40.82,41.89,80.12,37.02,41.89,43.61,0.06%
004794,富荣福鑫混合A,2020-12-31,1.2731,1.3761,1.88,2.92,12.23,16.58,25.14,32.16,41.41,,32.16,40.2367,0.15%
005583,易方达港股通红利混合,2020-12-31,1.2527,1.2527,1.36,2.92,11.49,16.68,29.25,38.50,62.39,,38.50,25.27,0.15%
519027,海富通上证周期ETF联接,2020-12-31,1.4510,1.4510,1.75,2.91,-0.89,8.36,18.35,5.91,36.12,11.79,5.91,45.10,0.12%
164205,天弘文化新兴产业,2020-12-31,2.4752,2.8781,2.64,2.91,1.61,11.29,30.18,40.75,164.39,125.33,40.75,187.8118,0.15%
000327,南方新蓝筹混合,2020-12-31,2.1792,2.1792,1.94,2.91,0.39,5.04,23.50,43.23,105.68,98.11,43.23,117.92,0.15%
002510,申万菱信中证500指数增强A,2020-12-31,1.6013,1.6013,1.62,2.91,3.49,4.14,16.41,39.73,108.37,49.78,39.73,60.13,0.12%
002631,江信瑞福灵活配置混合C,2020-12-31,1.3750,1.3750,1.60,2.91,9.75,22.67,40.46,42.21,79.43,34.38,42.21,37.50,0.00%
003001,招商丰德灵活配置混合C,2020-12-31,1.1691,1.1691,0.89,2.91,8.59,6.46,9.05,15.36,32.60,11.84,15.36,16.91,0.15%
004795,富荣福鑫混合C,2020-12-31,1.2725,1.3755,1.87,2.91,12.20,16.55,25.07,32.01,41.64,,32.01,40.1649,0.00%
005914,景顺长城智能生活混合,2020-12-31,2.2383,2.2383,0.97,2.91,12.60,19.75,31.70,74.87,,,74.87,123.83,0.15%
006682,景顺长城中证500增强,2020-12-31,1.3348,1.3348,1.46,2.91,1.97,4.37,21.72,34.43,,,34.43,33.48,0.15%
010013,易方达信息行业精选股票,2020-12-31,1.0513,1.0513,1.36,2.91,5.14,5.47,,,,,,5.13,0.15%
001496,工银聚焦30股票,2020-12-31,1.5620,1.5620,1.49,2.90,15.53,24.66,46.39,99.49,163.85,107.71,99.49,56.20,0.15%
377010,上投摩根阿尔法混合,2020-12-31,5.0583,6.9783,0.48,2.90,-2.83,4.20,27.32,47.61,133.20,33.32,47.61,737.9560,0.15%
005585,银河文体娱乐混合,2020-12-31,1.5201,1.5201,1.58,2.90,1.49,-1.39,-7.29,8.83,57.17,,8.83,52.01,0.15%
000326,南方中小盘成长股票,2020-12-31,1.7084,1.8364,1.91,2.90,0.54,4.58,23.50,43.20,79.96,78.52,43.20,87.4582,0.15%
007795,申万菱信中证500指数增强C,2020-12-31,1.7145,1.7145,1.62,2.90,3.46,4.06,16.23,39.31,,,39.31,71.45,0.00%
008437,九泰行业优选混合A,2020-12-31,1.0496,1.0496,1.31,2.90,3.49,4.91,,,,,,4.96,0.15%
008438,九泰行业优选混合C,2020-12-31,1.05,1.05,1.31,2.90,3.51,4.88,,,,,,5,0.00%
163816,中银转债增强债券A,2020-12-31,2.8490,2.8490,1.21,2.89,5.09,5.52,18.66,28.16,66.03,52.43,28.16,184.90,0.08%
510081,长盛动态精选混合,2020-12-31,1.8116,4.1377,2.37,2.89,13.24,14.92,22.46,62.88,117.68,61.87,62.88,822.7649,0.15%
162607,景顺长城资源垄断混合,2020-12-31,0.7480,3.3760,1.63,2.89,-3.48,7.16,16.51,41.13,118.68,70.24,41.13,761.0238,0.15%
001740,光大中国制造2025混合,2020-12-31,2.3170,2.4160,1.49,2.89,13.58,25.92,45.18,73.95,142.62,71.67,73.95,151.4999,0.15%
009914,富国成长动力混合,2020-12-31,1.0814,1.0814,1.82,2.89,3.73,8.15,,,,,,8.14,0.15%
163817,中银转债增强债券B,2020-12-31,2.7490,2.7490,1.22,2.88,5.08,5.41,18.44,27.68,64.91,50.80,27.68,174.90,0.00%
240010,华宝行业精选混合,2020-12-31,1.7377,1.7377,1.23,2.88,5.89,6.76,18.17,41.24,76.36,19.33,41.24,73.77,0.15%
000480,东方红新动力混合,2020-12-31,3.3190,3.4070,2.41,2.88,-0.09,9.86,25.43,32.50,66.37,29.85,32.50,253.3129,1.50%
519983,长信量化先锋混合A,2020-12-31,1.9680,2.8180,2.07,2.88,4.85,2.71,10.56,41.89,78.10,28.96,41.89,202.4628,0.15%
005947,德邦民裕进取量化混合A,2020-12-31,1.5591,1.5591,1.58,2.88,1.60,7.26,24.62,35.37,86.88,,35.37,55.91,0.15%
007216,浙商中华预期高股息C,2020-12-31,0.9517,0.9517,1.81,2.88,-0.67,7.37,4.43,-10.20,,,-10.20,-4.83,0.00%
000652,博时裕隆灵活配置混合,2020-12-31,4.2120,3.6470,0.91,2.88,1.40,8.92,27.71,53.55,131.17,112.19,53.55,323.1994,0.15%
009967,博时荣泰混合,2020-12-31,1.0761,1.0761,1.55,2.88,5.35,9.64,,,,,,7.61,0.15%
