最新价	涨跌幅	转债代码	转债名称	总市值	纯债价值	最新价/正股价格	涨跌幅	正股代码	正股名称	转股价值	转股溢价率	纯债溢价率	回售触发价	强赎触发价	到期赎回价	开始转股日	申购日期
101.601	0.79	123061	航新转债	-	102.0146	12.58	-2.4	300424	航新科技	84.6568	20.02	-0.41	10.4	19.32	118.0	20210128	20200722
120.234	-1.04	123060	苏试转债	-	96.0813	24.36	1.2	300416	苏试试验	102.0956	17.77	25.14	16.7	31.02	112.0	20210127	20200721
85.93	0.13	113595	花王转债	-	102.3911	5.12	6.22	603007	花王股份	73.8817	16.31	-16.08	4.85	9.01	116.0	20210127	20200721
97.5	-1.88	113594	淳中转债	-	99.2369	29.96	0.37	603516	淳中科技	76.0986	28.12	-1.75	27.56	51.18	115.0	20210127	20200721
108.0	-0.92	127020	中金转债	-	92.7508	4.21	-1.64	000060	中金岭南	89.3843	20.83	16.44	3.3	6.12	110.0	20210125	20200720
114.54	-2.87	113593	沪工转债	-	99.3994	21.25	-2.43	603131	上海沪工	99.6717	14.92	15.23	14.92	27.72	115.0	20210125	20200720
112.99	1.47	128121	宏川转债	-	92.6046	18.82	3.12	002930	宏川智慧	92.9383	21.58	22.01	14.18	26.33	108.0	20210125	20200717
92.201	-0.86	128120	联诚转债	-	96.8399	17.95	-0.39	002921	联诚精密	73.6561	25.18	-4.79	17.06	31.68	112.0	20210125	20200717
78.5	-0.61	127019	国城转债	-	94.0587	8.64	1.53	000688	国城矿业	41.0062	91.43	-16.54	14.75	27.39	110.0	20210121	20200715
96.07	-0.44	123059	银信转债	-	101.4512	7.95	-1.24	300231	银信科技	80.222	19.76	-5.3	6.94	12.88	118.0	20210121	20200715
141.98	2.92	123058	欣旺转债	-	95.0772	28.33	6.91	300207	欣旺达	133.3804	6.45	49.33	14.87	27.61	111.0	20210120	20200714
132.5	1.45	128119	龙大转债	-	98.2451	12.37	-0.64	002726	龙大肉食	129.2581	2.51	34.87	6.7	12.44	115.0	20210118	20200713
92.14	-0.16	110071	湖盐转债	-	94.2063	5.1	-0.39	600929	雪天盐业	77.2727	19.24	-2.19	4.62	8.58	110.0	20210118	20200710
237.64	8.8	113592	安20转债	-	92.5028	272.94	7.6	603345	安井食品	235.4961	0.91	156.9	81.13	150.67	108.0	20210114	20200708
94.58	0.4	113036	宁建转债	-	95.976	3.61	1.12	601789	宁波建工	74.2798	27.33	-1.45	3.4	6.32	110.0	20210111	20200706
85.858	-1.06	128118	瀛通转债	-	100.0251	17.44	-0.68	002861	瀛通通讯	63.3491	35.53	-14.16	19.27	35.79	115.0	20210108	20200702
101.1	-1.08	128117	道恩转债	-	101.078	24.47	-1.73	002838	道恩股份	84.2921	19.94	0.02	20.32	37.74	118.0	20210108	20200702
97.61	2.54	123057	美联转债	-	96.8136	7.99	4.31	300586	美联新材	80.6256	21.07	0.82	6.94	12.88	112.0	20210107	20200701
96.57	-1.96	113591	胜达转债	-	100.0771	9.54	-1.55	603687	大胜达	91.2046	5.88	-3.5	7.32	13.6	116.0	20210108	20200701
93.811	-0.26	128116	瑞达转债	-	94.409	21.81	0.23	002961	瑞达期货	73.1388	28.26	-0.63	20.87	38.77	110.0	20210104	20200629
75.763	-0.81	127018	本钢转债	-	105.5388	2.85	0.0	000761	本钢板材	56.66	33.72	-28.21	3.52	6.54	119.0	20210104	20200629
169.06	2.24	113590	海容转债	-	94.685	61.65	1.9	603187	海容冷链	169.4147	-0.21	78.55	25.47	47.31	110.0	20210104	20200629
303.22	1.75	128115	巨星转债	-	94.4719	37.36	2.19	002444	巨星科技	304.2345	-0.33	220.96	8.6	15.96	110.0	20210104	20200624
101.35	-1.6	123056	雪榕转债	-	99.2399	10.05	-1.28	300511	雪榕生物	84.5248	19.91	2.13	8.32	14.27	115.0	20210104	20200624
78.72	-0.61	113589	天创转债	-	94.4719	5.17	-2.08	603608	天创时尚	41.5595	89.42	-16.67	8.71	16.17	110.0	20210104	20200624
112.199	-1.14	128114	正邦转债	-	94.5447	16.03	-2.85	002157	正邦科技	103.0868	8.84	18.67	10.89	20.22	110.0	20201223	20200617
133.84	1.39	123055	晨光转债	-	101.96	16.44	0.92	300138	晨光生物	134.2041	-0.27	31.27	8.58	15.93	118.0	20201223	20200617
104.35	-0.95	113588	润达转债	-	93.6295	10.98	-1.61	603108	润达医疗	82.1856	26.97	11.45	9.35	17.37	109.0	20201223	20200617
115.2	-0.41	128113	比音转债	-	96.1986	15.92	-1.97	002832	比音勒芬	106.8456	7.82	19.75	10.43	19.37	112.0	20201221	20200615
143.39	1.57	113587	泛微转债	-	101.9824	92.2	0.5	603039	泛微网络	143.3235	0.05	40.6	45.03	83.63	118.0	20201221	20200615
145.8	-0.41	128112	歌尔转2	-	93.8387	34.03	-0.23	002241	歌尔股份	146.2398	-0.3	55.37	16.29	30.25	110.0	20201218	20200612
205.3	1.9	128111	中矿转债	-	102.3816	30.8	1.99	002738	中矿资源	199.095	3.12	100.52	10.83	20.11	118.0	20201217	20200611
89.142	-0.73	123054	思特转债	-	99.9419	10.97	-0.99	300608	思特奇	66.5252	34.0	-10.81	11.54	21.44	115.0	20201216	20200610
303.8	4.33	128110	永兴转债	-	92.8949	52.28	5.42	002756	永兴材料	306.4478	-0.86	227.04	11.94	22.18	108.0	20201215	20200609
134.23	-0.35	113585	寿仙转债	-	96.7225	38.76	-0.03	603896	寿仙谷	135.1464	-0.68	38.78	20.08	37.28	112.0	20201215	20200609
101.8	-1.58	123053	宝通转债	-	99.6423	16.79	-0.06	300031	宝通科技	80.7212	26.11	2.17	14.56	27.04	115.0	20201211	20200605
107.15	0.24	123052	飞鹿转债	-	104.6338	9.81	-1.41	300665	飞鹿股份	99.0909	8.13	2.4	6.93	12.87	120.0	20201211	20200605
102.01	0.15	113584	家悦转债	-	94.6696	20.64	1.47	603708	家家悦	54.3587	87.66	7.75	26.58	49.36	110.0	20201214	20200605
107.39	-0.58	128109	楚江转债	-	94.68	7.65	2.0	002171	楚江新材	87.6289	22.55	13.42	6.11	11.35	110.0	20201210	20200604
104.546	0.04	123051	今天转债	-	100.9212	8.85	-0.78	300532	今天国际	100.5682	3.96	3.59	6.16	11.44	116.0	20201210	20200604
109.2	2.54	127017	万青转债	-	97.221	11.92	1.1	000789	万年青	84.1808	29.72	12.32	9.91	18.41	113.0	20201209	20200603
137.84	0.05	113583	益丰转债	-	94.7112	99.37	0.58	603939	益丰药房	138.3598	-0.38	45.54	50.27	93.37	110.0	20201207	20200601
148.8	-0.79	128108	蓝帆转债	-	93.1166	26.75	0.04	002382	蓝帆医疗	150.3654	-1.04	59.8	12.45	23.13	108.0	20201203	20200528
286.25	0.5	113582	火炬转债	-	94.7633	67.96	0.59	603678	火炬电子	268.2985	6.69	202.07	17.73	32.93	110.0	20201202	20200527
237.85	2.49	113580	康隆转债	-	100.0131	14.19	-1.46	603665	康隆达	91.4894	159.98	137.82	10.86	20.16	115.0	20201029	20200423
107.16	0.13	113579	健友转债	-	94.1959	31.75	-0.84	603707	健友股份	75.5054	41.92	13.76	29.44	54.67	109.0	20201029	20200423
103.914	-0.08	128107	交科转债	-	95.1269	5.09	-0.39	002061	浙江交科	94.9627	9.43	9.24	3.75	6.97	110.0	20201028	20200422
90.69	-0.61	113578	全筑转债	-	97.6124	4.17	-0.24	603030	全筑股份	76.7956	18.09	-7.09	3.8	7.06	113.0	20201026	20200420
95.4	0.21	113573	纵横转债	-	103.0001	10.14	0.9	603602	纵横通信	53.9075	76.97	-7.38	13.17	24.45	118.0	20201023	20200417
115.0	0.44	123050	聚飞转债	-	102.5776	5.07	0.0	300303	聚飞光电	97.8764	17.5	12.11	3.63	6.73	118.0	20201020	20200414
127.5	0.28	113577	春秋转债	-	97.6481	14.16	2.83	603890	春秋电子	128.0289	-0.41	30.57	7.74	14.38	112.0	20201020	20200414
101.0	-1.56	123049	维尔转债	-	103.1412	6.54	-0.61	300190	维尔利	87.4332	15.52	-2.08	5.24	9.72	118.0	20201019	20200413
90.58	-1.64	110070	凌钢转债	-	97.3139	2.19	-1.35	600231	凌钢股份	79.6364	13.74	-6.92	1.93	3.58	112.0	20201019	20200413
114.0	0.0	128106	华统转债	-	93.5069	8.79	0.46	002840	华统股份	93.6102	21.78	21.92	6.57	12.21	108.0	20201016	20200410
104.3	1.16	123048	应急转债	-	93.4106	8.49	0.35	300527	中船应急	95.3933	9.34	11.66	6.23	11.57	108.0	20201016	20200410
90.84	1.61	113576	起步转债	-	100.7074	7.04	2.03	603557	起步股份	66.7299	36.13	-9.8	7.39	13.72	115.0	20201016	20200410
113.0	-0.88	113034	滨化转债	-	95.0555	5.07	-1.36	601678	滨化股份	108.3333	4.31	18.88	3.28	6.08	110.0	20201016	20200410
96.0	-1.44	128105	长集转债	-	95.2616	6.98	-1.13	002616	长青集团	86.0666	11.54	0.78	5.68	10.54	110.0	20201015	20200409
94.2	0.96	127016	鲁泰转债	-	95.9847	6.05	1.0	000726	鲁  泰Ａ	67.9012	38.73	-1.86	6.24	11.58	111.0	20201015	20200409
133.59	4.13	113575	东时转债	-	93.7875	11.39	-0.52	603377	东方时尚	78.228	70.77	42.44	10.19	18.93	108.0	20201015	20200409
129.5	-0.45	110069	瀚蓝转债	-	93.638	21.95	3.44	600323	瀚蓝环境	108.6634	19.18	38.3	14.14	26.26	110.0	20201013	20200407
98.84	-0.48	113033	利群转债	-	95.3443	6.66	0.6	601366	利群股份	95.0071	4.03	3.67	4.91	9.11	110.0	20201009	20200401
96.81	-0.82	113574	华体转债	-	96.3468	18.55	-0.7	603679	华体科技	54.5749	77.39	0.48	23.79	44.19	110.0	20201009	20200331
